,user_id,version,return_day1
0,38969,current,False
1,99443,new,False
2,77053,new,True
3,75384,new,False
4,44972,current,False
5,46709,current,True
6,40964,current,False
7,78243,new,False
8,33567,current,False
9,92685,new,False
10,28554,current,False
11,17882,current,True
12,15850,current,False
13,20215,current,True
14,52049,new,False
15,10589,current,False
16,56688,new,True
17,99185,new,True
18,33070,current,True
19,47194,current,False
20,87935,new,False
21,98882,new,False
22,20494,current,True
23,25814,current,True
24,19710,current,False
25,81197,new,True
26,79964,new,True
27,56909,new,True
28,79451,new,True
29,56362,new,True
30,39020,current,False
31,92460,new,False
32,67149,new,False
33,15300,current,False
34,60605,new,False
35,63447,new,True
36,62012,new,True
37,41404,current,True
38,70157,new,True
39,96488,new,True
40,82557,new,False
41,23184,current,False
42,64973,new,True
43,14970,current,False
44,53194,new,True
45,61132,new,False
46,81946,new,False
47,94904,new,False
48,99904,new,True
49,72398,new,False
50,17487,current,True
51,12053,current,False
52,57937,new,False
53,49543,current,True
54,16705,current,False
55,66563,new,True
56,97014,new,False
57,25707,current,False
58,46731,current,True
59,27949,current,False
60,28065,current,False
61,48839,current,False
62,95140,new,True
63,88693,new,True
64,24752,current,True
65,19485,current,False
66,97123,new,False
67,95644,new,True
68,42437,current,False
69,60867,new,False
70,57723,new,False
71,44275,current,False
72,49793,current,False
73,33842,current,True
74,45491,current,False
75,33700,current,False
76,42831,current,False
77,78044,new,True
78,24049,current,True
79,43833,current,True
80,89653,new,True
81,93526,new,False
82,40831,current,False
83,37345,current,False
84,28245,current,False
85,50627,new,True
86,40246,current,False
87,94388,new,True
88,39161,current,False
89,77134,new,True
90,71218,new,True
91,45653,current,False
92,32607,current,False
93,18351,current,True
94,74112,new,True
95,75305,new,True
96,43541,current,True
97,96989,new,True
98,53644,new,True
99,45629,current,False
100,36581,current,False
101,13402,current,True
102,41240,current,True
103,31835,current,False
104,15920,current,False
105,71358,new,True
106,51578,new,True
107,59509,new,True
108,93761,new,True
109,45362,current,True
110,46158,current,False
111,57513,new,False
112,35863,current,False
113,54321,new,True
